Timestamp,Key,Interval_ms,Chars_per_Second,Error_Count,is_human
28/10/2024 18:46,l,"15,99","62,55",0,0
28/10/2024 18:46,a,"16,85","59,35",0,0
28/10/2024 18:46,[SPACE],"15,04","66,51",0,0
28/10/2024 18:46,,"16,28","61,44",0,0
28/10/2024 18:46,[SPACE],"16,58","60,32",0,0
28/10/2024 18:46,#ERROR!,"15,97","62,61",0,0
28/10/2024 18:46,[SPACE],"15,54","64,34",0,0
28/10/2024 18:46,[SHIFT],"16,06","62,27",0,0
28/10/2024 18:46,$,1,999,0,0
28/10/2024 18:46,e,"15,15","65,98",0,0
28/10/2024 18:46,n,"16,35","61,15",0,0
28/10/2024 18:46,v,"16,12","62,03",0,0
28/10/2024 18:46,[SHIFT],"15,32","65,3",0,0
28/10/2024 18:46,:,1,999,0,0
28/10/2024 18:46,[SHIFT],"15,32","65,25",0,0
28/10/2024 18:46,U,"0,98","1019,37",0,0
28/10/2024 18:46,[SHIFT],"15,12","66,15",0,0
28/10/2024 18:46,S,0,0,0,0
28/10/2024 18:46,[SHIFT],"15,82","63,2",0,0
28/10/2024 18:46,E,"0,92","1089,32",0,0
28/10/2024 18:46,[SHIFT],"15,1","66,25",0,0
28/10/2024 18:46,R,0,0,0,0
28/10/2024 18:46,[SHIFT],"15,63","63,98",0,0
28/10/2024 18:46,N,1,999,0,0
28/10/2024 18:46,[SHIFT],"15,35","65,14",0,0
28/10/2024 18:46,A,0,0,0,0
28/10/2024 18:46,[SHIFT],"16,09","62,15",0,0
28/10/2024 18:46,M,0,0,0,0
28/10/2024 18:46,[SHIFT],"16,02","62,44",0,0
28/10/2024 18:46,E,0,0,0,0
28/10/2024 18:46,[SPACE],"15,19","65,82",0,0
28/10/2024 18:46,#ERROR!,"17,49","57,18",0,0
28/10/2024 18:46,[SPACE],"15,12","66,12",0,0
28/10/2024 18:46,,"15,94","62,75",0,0
28/10/2024 18:46,e,"16,45","60,78",0,0
28/10/2024 18:46,s,"16,22","61,66",0,0
28/10/2024 18:46,[SPACE],"15,02","66,6",0,0
28/10/2024 18:46,u,"16,56","60,39",0,0
28/10/2024 18:46,n,"16,05","62,3",0,0
28/10/2024 18:46,[SPACE],"15,26","65,54",0,0
28/10/2024 18:46,p,"16,4","60,99",0,0
28/10/2024 18:46,l,"16,3","61,35",0,0
28/10/2024 18:46,a,"16,18","61,8",0,0
28/10/2024 18:46,c,"15,88","62,96",0,0
